,timestamp,symbol,open,high,low,close,volume,trade_count,SMA_20,SMA_50,SMA_100,Volatility,Bollinger_Upper,Bollinger_Lower,Momentum_5,sentiment_score,likes,weighted_sentiment,next_open
1123,2024-10-04 19:15:00+00:00,AAPL,225.36,226.18,225.345,226.1,24082.0,,225.15299999999996,224.8416,225.34470000000002,0.3484264628458158,225.8498529256916,224.45614707430832,0.6999999999999886,0.0,0,0.0,226.085
1134,2024-10-04 19:30:00+00:00,AAPL,226.085,226.32,225.97,226.31,30769.0,,225.204,224.8486,225.35389999999998,0.429876726508213,226.06375345301643,224.34424654698358,0.21000000000000796,0.0,0,0.0,226.29
1145,2024-10-04 19:45:00+00:00,AAPL,226.29,226.97,226.08,226.69,96925.0,,225.2865,224.8544,225.37150000000003,0.5357730396334914,226.35804607926698,224.214953920733,0.37999999999999545,0.0,0,0.0,224.47
1159,2024-10-07 13:30:00+00:00,AAPL,224.47,225.065,224.1,224.83,72075.0,,225.29299999999998,224.8371,225.36785,0.5293684917064426,226.35173698341288,224.23426301658708,,0.0,0,0.0,224.885
1170,2024-10-07 13:45:00+00:00,AAPL,224.885,225.39,224.735,225.1,51286.0,,225.3225,224.84130000000002,225.36605,0.5005684268924163,226.32363685378482,224.32136314621516,0.2699999999999818,0.0,0,0.0,225.01
1181,2024-10-07 14:00:00+00:00,AAPL,225.01,225.52,224.43,225.12,82356.0,,225.33649999999997,224.8511,225.36919999999998,0.4906961891167997,226.31789237823358,224.35510762176636,0.020000000000010232,0.0,0,0.0,225.11
1192,2024-10-07 14:15:00+00:00,AAPL,225.11,225.515,224.95,225.32,26394.0,,225.32600000000002,224.8691,225.3678,0.48868599324040485,226.30337198648084,224.3486280135192,0.19999999999998863,0.0,0,0.0,225.33
1203,2024-10-07 14:30:00+00:00,AAPL,225.33,225.68,225.19,225.4,26957.0,,225.3505,224.88400000000001,225.3649,0.47941083633598763,226.30932167267198,224.39167832732804,0.0800000000000125,0.0,0,0.0,225.44
1214,2024-10-07 14:45:00+00:00,AAPL,225.44,225.49,225.06,225.3,17633.0,,225.36849999999998,224.8956,225.3657,0.47033259508825326,226.3091651901765,224.42783480982348,-0.09999999999999432,0.0,0,0.0,225.24
1225,2024-10-07 15:00:00+00:00,AAPL,225.24,225.24,224.49,225.0,17253.0,,225.34650000000002,224.8949,225.363,0.4767208302471123,226.29994166049426,224.39305833950579,-0.30000000000001137,0.0,0,0.0,224.94
